Tm,R/G,RA/G,Playoffs,Year
MIA,3.17,3.99,0,2013
MIL,3.95,4.24,0,2013
MIN,3.79,4.86,0,2013
NYM,3.82,4.22,0,2013
NYY,4.01,4.14,0,2013
OAK,4.73,3.86,1,2013
PHI,3.77,4.62,0,2013
PIT,3.91,3.56,0,2013
SDP,3.81,4.32,0,2013
SEA,3.85,4.65,0,2013
SFG,3.88,4.27,1,2013
STL,4.83,3.68,1,2013
TBR,4.29,3.96,1,2013
TEX,4.48,3.9,0,2013
TOR,4.4,4.67,0,2013
WSN,4.05,3.86,0,2013
ARI,4.53,4.25,0,2012
ATL,4.32,3.7,1,2012
BAL,4.4,4.35,1,2012
BOS,4.53,4.98,0,2012
CHC,3.78,4.69,0,2012
CHW,4.62,4.17,0,2012
CIN,4.13,3.63,1,2012
CLE,4.12,5.22,0,2012
COL,4.68,5.49,0,2012
DET,4.48,4.14,1,2012
HOU,3.6,4.9,0,2012
KCR,4.17,4.6,0,2012
LAA,4.73,4.31,0,2012
LAD,3.93,3.69,0,2012
MIA,3.76,4.47,0,2012
MIL,4.79,4.52,0,2012
MIN,4.33,5.14,0,2012
NYM,4.01,4.38,0,2012
NYY,4.96,4.12,1,2012
OAK,4.4,3.79,1,2012
PHI,4.22,4.2,0,2012
PIT,4.02,4.16,0,2012
SDP,4.02,4.38,0,2012
SEA,3.82,4.02,0,2012
SFG,4.43,4.01,1,2012
STL,4.72,4,1,2012
TBR,4.3,3.56,0,2012
TEX,4.99,4.36,1,2012
TOR,4.42,4.84,0,2012
WSN,4.51,3.67,1,2012
ARI,4.51,4.09,1,2011
ATL,3.96,3.73,0,2011
BAL,4.37,5.31,0,2011
BOS,5.4,4.55,0,2011
CHC,4.04,4.67,0,2011
CHW,4.04,4.36,0,2011
CIN,4.54,4.44,0,2011
CLE,4.35,4.69,0,2011
COL,4.54,4.78,0,2011
DET,4.86,4.39,1,2011
MIA,3.86,4.33,0,2011
HOU,3.8,4.91,0,2011
KCR,4.51,4.7,0,2011
LAA,4.12,3.91,0,2011
LAD,4,3.8,0,2011
MIL,4.45,3.94,1,2011
MIN,3.82,4.96,0,2011
NYM,4.43,4.58,0,2011
NYY,5.35,4.06,1,2011
OAK,3.98,4.19,0,2011
PHI,4.4,3.27,1,2011
PIT,3.77,4.4,0,2011
SDP,3.66,3.77,0,2011
SEA,3.43,4.17,0,2011
SFG,3.52,3.57,0,2011
STL,4.7,4.27,1,2011
TBR,4.36,3.79,1,2011
TEX,5.28,4.18,1,2011
TOR,4.59,4.7,0,2011
WSN,3.88,3.99,0,2011
